time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:19.591760835,19609,51.20589891955553,17110,2130,6033,87,9846,101,43226,1351,79884
2026-01-26 16:29:19.620395837,19609,77.35746886361878,17110,2130,6033,87,9846,101,43226,2364,80897
2026-01-26 16:29:19.621960255,19609,77.35746886361878,17110,2130,6033,87,9846,101,43226,16266,94799
2026-01-26 16:29:19.630440038,19609,98.67771857114664,17110,2130,6033,87,9846,101,43226,2755,81288
2026-01-26 16:29:19.671170815,19609,66.23393826996953,17110,2130,6033,87,9846,101,43226,1564,80097
2026-01-26 16:29:19.672034596,19609,66.23393826996953,17110,2130,6033,87,9846,101,43226,15464,93997
2026-01-26 16:29:19.672228876,19612,66.23393826996953,17634,3489,5248,88,76988,275,9239,29543,142504
2026-01-26 16:29:19.682599266,19617,66.23393826996953,13768,3224,6723,84,11240,52,9239,43379,87709
2026-01-26 16:29:19.694756580,19617,66.23393826996953,13768,3224,6723,84,11240,52,7760,57245,100096
2026-01-26 16:29:19.722930667,19617,66.23393826996953,13768,3224,6723,84,11240,52,7760,71313,114164
2026-01-26 16:29:19.727156669,19617,66.23393826996953,13768,3224,6723,84,11240,52,7760,85098,127949
2026-01-26 16:29:19.751459073,19617,11.26126126126126,13768,3224,6723,84,11240,52,50882,10274,96247
2026-01-26 16:29:19.754072367,19621,65.99788806758184,16735,2230,6165,103,12201,46,1167,9016,47663
2026-01-26 16:29:19.808144956,19622,56.67006687067891,20005,2201,7040,105,3600,59,6717,5315,45042
2026-01-26 16:29:19.808369318,19622,59.16459590580996,20005,2201,7040,105,3600,59,23942,2357,59309
2026-01-26 16:29:19.809683773,19622,59.16459590580996,20005,2201,7040,105,3600,59,23942,16250,73202
2026-01-26 16:29:19.809882502,19624,57.92400370713624,18857,1859,6317,100,16812,99,41018,12891,97953
2026-01-26 16:29:19.824747290,19625,62.46486351427322,14032,3251,7080,99,19883,76,12468,10849,67738
2026-01-26 16:29:19.848204441,19625,49.58349861166204,14032,3251,7080,99,19883,76,13500,4596,62517
2026-01-26 16:29:19.862183752,19625,74.06310176270182,14032,3251,7080,99,19883,76,26928,5010,76359
2026-01-26 16:29:19.862975114,19625,62.394708928682846,14032,3251,7080,99,19883,76,42875,2913,90209
2026-01-26 16:29:19.876156951,19625,62.394708928682846,14032,3251,7080,99,19883,76,42875,16819,104115
2026-01-26 16:29:19.891126512,19625,84.61668641056016,14032,3251,7080,99,19883,76,62079,11373,117873
2026-01-26 16:29:19.937676383,19630,84.61668641056016,19015,3622,8391,117,16027,113,74183,13540,135008
2026-01-26 16:29:19.943931271,19630,63.20313487548982,19015,3622,8391,117,16027,113,5404,11584,64273
2026-01-26 16:29:19.988605479,19630,52.91005291005291,19015,3622,8391,117,16027,113,24063,6599,77947
2026-01-26 16:29:19.990362194,19631,79.50389569088885,15932,3687,9696,103,41965,59,40778,7979,120199
2026-01-26 16:29:19.991380253,19631,57.61364291064124,15932,3687,9696,103,41965,59,11029,4551,87022
2026-01-26 16:29:19.992383591,19631,77.88161993769471,15932,3687,9696,103,41965,59,23817,5592,100851
2026-01-26 16:29:20.025725096,19636,62.23549912870301,15004,1986,6699,79,7323,114,3442,3456,38103
2026-01-26 16:29:20.026966237,19636,67.90249202145719,15004,1986,6699,79,7323,114,14568,2647,48420
2026-01-26 16:29:20.028193777,19636,66.6800026672001,15004,1986,6699,79,7323,114,29449,1612,62266
2026-01-26 16:29:20.029402628,19636,71.20478496154942,15004,1986,6699,79,7323,114,43386,1469,76060
2026-01-26 16:29:20.055353196,19636,71.20478496154942,15004,1986,6699,79,7323,114,43386,15380,89971
2026-01-26 16:29:20.115712163,19637,74.827895839569,16635,3410,7021,85,51486,57,60080,12737,151511
2026-01-26 16:29:20.117075197,19640,78.10669374365384,15311,3538,6859,81,17182,136,10869,558,54534
2026-01-26 16:29:20.120165376,19640,73.53481873667181,15311,3538,6859,81,17182,136,21366,839,65312
2026-01-26 16:29:20.121726882,19643,76.76953784738215,13665,3123,5409,76,5282,46,34417,1731,63749
2026-01-26 16:29:20.127020961,19643,72.37461098646595,13665,3123,5409,76,5282,46,11978,1808,41387
2026-01-26 16:29:20.128529569,19644,84.68834688346884,16352,1889,6065,100,8550,41,4615,3954,41566
2026-01-26 16:29:20.143915179,19644,76.13826709304097,16352,1889,6065,100,8550,41,17855,4804,55656
2026-01-26 16:29:20.158802113,19644,67.45362563237774,16352,1889,6065,100,8550,41,33123,3826,69946
2026-01-26 16:29:20.187593345,19645,78.44367743959837,16622,2380,6750,73,33588,58,2598,5005,67074
2026-01-26 16:29:20.188388995,19645,85.61643835616438,16622,2380,6750,73,33588,58,14354,7231,81056
2026-01-26 16:29:20.199501593,19647,75.96475235490732,19490,3452,6962,80,27252,63,27405,8030,92734
2026-01-26 16:29:20.217573397,19647,60.52902366684825,19490,3452,6962,80,27252,63,17109,5404,79812
2026-01-26 16:29:20.237266965,19649,100.86746015735324,16518,1902,6327,80,18717,85,6369,9406,59404
2026-01-26 16:29:20.251862110,19649,79.07638779060572,16518,1902,6327,80,18717,85,15689,10681,69999
2026-01-26 16:29:20.262953971,19649,76.4525993883792,16518,1902,6327,80,18717,85,28786,11532,83947
2026-01-26 16:29:20.270836928,19651,75.08071176514753,16842,1982,6763,80,26291,187,7406,12211,71762
2026-01-26 16:29:20.294111191,19652,61.835270838486274,16910,3429,7599,77,24332,67,16626,9898,78938
2026-01-26 16:29:20.294919674,19653,74.23904974016332,16608,3347,6173,73,24565,73,14032,12848,77719
2026-01-26 16:29:20.333745794,19653,71.64863509350147,16608,3347,6173,73,24565,73,12536,13292,76667
2026-01-26 16:29:20.334549956,19655,71.36230642974381,17235,3527,7344,76,15490,63,699,13248,57682
2026-01-26 16:29:20.335330853,19656,71.36230642974381,17450,3651,6321,78,14398,62,10907,13070,65937
2026-01-26 16:29:20.350978747,19657,68.83733737179045,15561,3353,7045,75,12783,41,13092,12514,64464
2026-01-26 16:29:20.364102309,19657,69.88120195667365,15561,3353,7045,75,12783,41,13290,12127,64275
2026-01-26 16:29:20.401929796,19659,70.28888732691361,16580,1965,6967,84,6691,46,1218,11892,45443
2026-01-26 16:29:20.450586797,19659,64.57445434586077,16580,1965,6967,84,6691,46,13465,10302,56100
2026-01-26 16:29:20.451936582,19660,64.37491953135059,15887,2021,6938,73,16626,107,6311,8659,56622
2026-01-26 16:29:20.452899342,19661,71.285999429712,17309,2033,5745,76,16754,65,7515,8623,58120
2026-01-26 16:29:20.453797012,19661,63.10342651605982,17309,2033,5745,76,16754,65,7515,6642,56139
2026-01-26 16:29:20.454780798,19661,65.68575932737782,17309,2033,5745,76,16754,65,7515,5352,54849
2026-01-26 16:29:20.470990891,19664,67.330999192028,16055,1890,5800,76,16645,84,7515,4461,52526
2026-01-26 16:29:20.475452136,19665,61.12843083318051,16496,3224,6538,79,11557,77,8539,1999,48509
2026-01-26 16:29:20.494862844,19665,61.12843083318051,16496,3224,6538,79,11557,77,4502,15889,58362
2026-01-26 16:29:20.506805621,19665,58.486372675166685,16496,3224,6538,79,11557,77,4502,12760,55233
2026-01-26 16:29:20.525729813,19665,64.47453255963894,16496,3224,6538,79,11557,77,4502,11199,53672
2026-01-26 16:29:20.555534016,19668,64.50780544445878,14050,1995,7953,77,9109,96,8192,9658,51130
2026-01-26 16:29:20.557202343,19669,62.50781347668458,15748,2044,6260,81,15044,43,8192,7558,54970
2026-01-26 16:29:20.559460614,19669,61.01653548111538,15748,2044,6260,81,15044,43,6583,5079,50882
2026-01-26 16:29:20.590952569,19670,61.01653548111538,16722,3683,7482,81,26232,80,6583,19037,79900
2026-01-26 16:29:20.610424048,19671,76.44675483525724,18358,2094,10834,96,17011,46,7316,12742,68497
2026-01-26 16:29:20.611432699,19671,76.44675483525724,18358,2094,10834,96,17011,46,4036,13492,65967
2026-01-26 16:29:20.615290366,19671,64.31281754453663,18358,2094,10834,96,17011,46,4036,11873,64348
2026-01-26 16:29:20.660406481,19671,60.23370678231538,18358,2094,10834,96,17011,46,4036,9209,61684
2026-01-26 16:29:20.662896890,19671,54.72555135992995,18358,2094,10834,96,17011,46,4036,4836,57311
2026-01-26 16:29:20.663850242,19676,54.72555135992995,16843,2074,7217,74,7219,47,3008,18772,55254
2026-01-26 16:29:20.672469806,19676,54.72555135992995,16843,2074,7217,74,7219,47,9053,32732,75259
2026-01-26 16:29:20.697128257,19676,54.72555135992995,16843,2074,7217,74,7219,47,9053,46674,89201
2026-01-26 16:29:20.698145644,19676,54.72555135992995,16843,2074,7217,74,7219,47,9053,60533,103060
2026-01-26 16:29:20.719599670,19677,54.72555135992995,12138,1066,130,114,32821,70,9053,74464,129856
2026-01-26 16:29:20.741509876,19678,12.135185971725017,10569,2903,1326,95,22367,45,5930,5970,49205
2026-01-26 16:29:20.742384729,19678,66.12007405448294,10569,2903,1326,95,22367,45,20964,4827,63096
2026-01-26 16:29:20.753782875,19679,61.58773172384061,18285,1968,6736,83,36858,58,37076,2465,103529
2026-01-26 16:29:20.768011316,19681,57.77007510109763,16737,1804,5202,81,14249,43,37076,16590,91782
2026-01-26 16:29:20.782163499,19682,57.77007510109763,18662,3046,6325,84,18378,59,16708,13011,76273
2026-01-26 16:29:20.820737289,19683,60.430263475948756,16033,3332,6654,91,3772,47,2123,10344,42396
2026-01-26 16:29:20.821554763,19683,60.430263475948756,16033,3332,6654,91,3772,47,2123,24255,56307
2026-01-26 16:29:20.855170648,19683,33.82606636674221,16033,3332,6654,91,3772,47,31876,8631,70436
2026-01-26 16:29:20.856386860,19684,96.58103148541626,15633,1967,6185,90,31302,58,12978,232,68445
2026-01-26 16:29:20.857519867,19685,96.58103148541626,19686,3334,7450,92,33841,65,12978,14132,91578
2026-01-26 16:29:20.865004120,19685,55.33115697449234,19686,3334,7450,92,33841,65,6063,9972,80503
2026-01-26 16:29:20.885092777,19688,86.69267446900737,16360,3316,6634,84,17818,41,17506,12387,74146
2026-01-26 16:29:20.898397851,19688,61.319597743438806,16360,3316,6634,84,17818,41,7157,9977,61387
2026-01-26 16:29:20.916044165,19688,54.848617814831066,16360,3316,6634,84,17818,41,22017,5818,72088
2026-01-26 16:29:20.920203701,19688,64.37491953135059,16360,3316,6634,84,17818,41,37505,4115,85873
2026-01-26 16:29:20.946605137,19690,65.43646119617851,14449,3711,8828,85,34932,50,655,2686,65396
2026-01-26 16:29:20.947168232,19690,65.43646119617851,14449,3711,8828,85,34932,50,655,16574,79284
2026-01-26 16:29:20.970573478,19692,53.858997145473154,16851,1992,6172,93,26637,32,19094,11896,82767
2026-01-26 16:29:20.977469961,19692,77.78469197261978,16851,1992,6172,93,26637,32,11094,13023,75894
2026-01-26 16:29:20.990433133,19693,63.31117442228553,16221,3292,6880,91,33251,75,2028,11126,72964
